tag	status	startup_s	checks	single	agg4	agg8	agg16	pf523	pf2k	pf8k	xenv
base	OK	371	5/6	82.5	81.1	146.4	145.6	654	2542	4131	none
no_clav_attn	OK	371	5/6	83.4	77.2	144.1	144.4	670	2536	4099	CLAV_ATTN=0
no_gdn_hip	OK	451	5/6	81.7	71.9	136.8	132.5	658	2678	4046	NO_AMD_GDN_HIP=1
no_clav_helpers	OK	371	5/6	81.3	80.8	131.7	148.9	634	2543	3976	CLAV_HC=0 CLAV_CONV1D=0 CLAV_PLECONV=0 CLAV_SILU_QUANT=0 CLAV_MEMCPY=0 CLAV_STATE_COPY=0 CLAV_RESHAPE_CACHE=0
no_fp8hip	OK	381	5/6	77.0	73.4	127.3	146.7	628	2685	3885	VLLM_DISABLE_FP8HIP=1
no_rdna4_fp8	OK	372	5/6	82.6	84.5	148.0	141.8	614	2707	4112	VLLM_DISABLE_RDNA4_FP8_KERNEL=1
no_r4d_qsa	OK	381	5/6	78.1	70.4	130.2	126.4	641	2514	4095	R4D_QSA=0 R4D_QSA_PREP=0
no_r4d_ple	OK	372	5/6	78.2	80.4	145.1	147.0	658	2654	4115	R4D_PLE=0
no_r4d_select	OK	371	5/6	81.4	78.8	144.5	144.7	661	2684	4067	R4D_SELECT=0
no_ar_quant	OK	371	5/6	82.6	77.8	146.1	139.4	604	2574	3757	R4D_AR_QUANT=0
no_r4d_mxfp4	DIED	110	-								VLLM_DISABLE_R4D_MXFP4=1
no_all_clav	DIED	101	-								DISABLE_ALL_CLAV=1
